                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3478,                 1.7704,                 1.3175,                0.81213,                0.72862,                0.82375,                0.46669,                 1.4728,                 1.2147,                  1.461,               0.003332,               0.003332,               0.003332
                      2,                 1.3537,                 1.1593,                 1.3102,                0.82158,                 0.7172,                0.82137,                0.45289,                 1.5484,                 1.0715,                  1.516,              0.0066433,              0.0066433,              0.0066433
                      3,                 1.4258,                 1.1574,                 1.3691,                0.77896,                0.70352,                0.78865,                0.43551,                 1.5574,                 1.1382,                 1.5837,              0.0099327,              0.0099327,              0.0099327
                      4,                 1.4278,                 1.1379,                 1.3921,                0.85757,                0.76812,                0.86681,                0.49876,                 1.4862,                0.95026,                 1.5228,               0.009901,               0.009901,               0.009901
                      5,                 1.3746,                  1.034,                 1.3586,                 0.8656,                0.78038,                0.87104,                 0.5055,                  1.463,                0.89468,                 1.5003,               0.009901,               0.009901,               0.009901
                      6,                 1.3412,                0.97714,                 1.3313,                0.86528,                0.82115,                0.89464,                0.51851,                 1.4455,                  0.863,                 1.4707,               0.009868,               0.009868,               0.009868
                      7,                 1.3172,                0.93614,                  1.312,                0.87739,                0.84033,                0.90943,                0.53795,                 1.4266,                0.79253,                 1.4698,               0.009835,               0.009835,               0.009835
                      8,                 1.2986,                0.90382,                 1.2984,                 0.8985,                0.84876,                0.92022,                0.55219,                 1.4005,                0.75134,                 1.4467,               0.009802,               0.009802,               0.009802
                      9,                 1.2827,                0.88386,                 1.2914,                0.90446,                 0.8589,                0.92436,                0.55386,                 1.3985,                0.72537,                 1.4588,               0.009769,               0.009769,               0.009769
                     10,                  1.269,                0.86436,                 1.2794,                0.90637,                0.87153,                0.93053,                0.56126,                 1.3846,                0.70933,                 1.4237,               0.009736,               0.009736,               0.009736
                     11,                 1.2624,                 0.8511,                 1.2713,                0.91013,                0.86536,                0.93322,                0.56464,                 1.3828,                0.69866,                 1.4338,               0.009703,               0.009703,               0.009703
                     12,                 1.2513,                0.83762,                 1.2626,                0.90664,                0.87425,                0.93467,                0.56747,                  1.378,                0.68566,                 1.4227,                0.00967,                0.00967,                0.00967
                     13,                 1.2444,                0.82614,                 1.2597,                0.90429,                0.88817,                0.93638,                0.56989,                 1.3739,                0.67075,                 1.4129,               0.009637,               0.009637,               0.009637
                     14,                 1.2369,                0.81571,                 1.2494,                0.92347,                0.88179,                 0.9423,                0.57297,                 1.3689,                 0.6573,                 1.4099,               0.009604,               0.009604,               0.009604
                     15,                 1.2284,                0.80545,                  1.249,                0.91134,                0.88979,                0.94244,                0.57208,                 1.3732,                0.65088,                 1.4182,               0.009571,               0.009571,               0.009571
                     16,                 1.2295,                0.80042,                  1.249,                0.91898,                0.89241,                0.94484,                0.57949,                 1.3631,                0.63804,                 1.4123,               0.009538,               0.009538,               0.009538
                     17,                 1.2224,                0.79026,                 1.2415,                0.91905,                0.89564,                 0.9452,                0.57862,                 1.3635,                0.63392,                 1.4097,               0.009505,               0.009505,               0.009505
                     18,                  1.219,                0.78868,                 1.2426,                 0.9178,                0.89302,                0.94657,                0.58026,                 1.3593,                0.63089,                 1.4087,               0.009472,               0.009472,               0.009472
                     19,                 1.2141,                0.77977,                 1.2382,                0.91776,                0.89806,                0.94755,                0.58305,                 1.3577,                0.62788,                 1.4077,               0.009439,               0.009439,               0.009439
